Name,Latitude,Longitude,Type,Image Link,Price,Description,Great for Kids,Gift Shop,Food and Drink,World Famous
Warner Brothers Studio Tour,51.6927126,-0.420307921,Museum,https://media-exp1.licdn.com/dms/image/C4D1BAQFU6DSnZXgI7w/company-background_10000/0/1519798990605?e=2147483647&v=beta&t=OzcehJzGKoyS36beCkwr0bYjX0bx9yXjM_9Tv3IkFl8,47,"A museum to the magical world of Harry Potter, full of props and magic from the movies.",1,1,1,0
Emirates Cable Car,51.49977,0.008305,Ride,https://www.parkgrandlancastergate.co.uk/blog/wp-content/uploads/2019/05/Cars-at-London-Cable-Car.jpg,5,Scenic cablecar ride over the River Thames.,0,0,0,0
London Transport Museum,51.51234,-0.12085,Museum,https://www.ltmuseum.co.uk/sites/default/files/styles/twitter_card_image/public/2020-08/LTM_2020_3723_0.jpg?h=05130931&itok=JhsEqWEv,19,Full of relics of Londons great transport systems.,0,1,0,0
Tower of London,51.50853,-0.076132,Royal,https://wallpapercave.com/wp/wp3062546.jpg,30,Ancient fortress with massive amounts of history.,1,1,1,1
The View from the Shard,51.504501,-0.0865,Experience,https://www.theviewfromtheshard.com/content/themes/new-brand/build/images/shard-hero-image.jpg,32,The best view of London from its tallest building.,0,1,1,1
SEA LIFE London,51.50227,-0.11934,Zoo,https://www.visitsealife.com/london/media/r4ods1z1/homepage-banner.jpg,27,The best place in London to see a variety of sea life.,1,1,0,0
Shreks Adventure,51.5019,-0.1194,Experience,https://img.rezdy.com/PRODUCT_IMAGE/151734/Shrek_and_Fiona_lg.jpg,24,A wonderful adventure with Shrek and his friends.,1,1,0,0
The London Eye,51.503399,-0.119519,Ride,https://images.unsplash.com/photo-1589657068463-ef4077ce0d10?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxzZWFyY2h8Mnx8bG9uZG9uJTIwZXllfGVufDB8fDB8fA%3D%3D&w=1000&q=80,27,Great views from England's largest ferris wheel.,1,1,0,1
Madame Tussauds,51.523,-0.1544,Museum,https://livingnomads.com/wp-content/uploads/2019/09/26/Best-places-to-go-in-London-Madame-Tussauds-London-7.jpg,31,Meet your heroes in this spectacular wax museum.,1,1,0,1
Hampton Court Palace,51.403332,-0.3375,Royal,https://www.guidelondon.org.uk/wp-content/uploads/2016/02/Hampton-Court-Palace_The-bridge-over-the-moat-at-Hampton-Court-Palace-leads-to-the-Tudor-west-front-which-is-protected-by-the-Kings-Beasts-e1483381196975.jpg,27,"One of the stately homes of Henry VIII, full of royal history.",0,1,1,0
Buckingham Palace,51.501476,-0.140634,Royal,https://wallpaperaccess.com/full/1369496.jpg,30,"Home of the queen, available to tour when she isn't in residence.",0,1,1,1
St Pauls Cathedral,51.51387,-0.098362,Church,https://images.unsplash.com/photo-1578012702498-27e3d40c8701?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxzZWFyY2h8M3x8c3QlMjBwYXVscyUyMGNhdGhlZHJhbHxlbnwwfHwwfHw%3D&w=1000&q=80,18,Most famous church in London.,0,1,0,1
Tower Bridge,51.505554,-0.075278,Experience,https://images.unsplash.com/photo-1529180184525-78f99adb8e98?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxzZWFyY2h8MXx8bG9uZG9uJTIwYnJpZGdlfGVufDB8fDB8fA%3D%3D&w=1000&q=80,0,London's famous bridge. You might catch it rising for oncoming boats.,0,0,0,1
